width,height,dark,lang,kind,mode,amount,equivalent200Percent,required,available,natural_fits,reference_matched,before_unchanged,before_footer_height,after_footer_height,after_child_count,after_inside,after_text_unclipped,after_nonoverlap,same_children,body_client_height,body_scroll_height,body_scroll_top
767,900,False,ja,orders,existing,123450,False,319.140625,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,False,ja,orders,existing,999999999999,False,393.671875,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,False,ja,orders,saving,123450,False,345.53125,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,False,en,purchase,existing,0,False,289.6875,719,True,True,True,80,80,3,True,True,True,True,650,831,181
767,900,False,en,purchase,new,0,False,296.875,719,True,True,True,80,80,3,True,True,True,True,650,831,181
767,900,False,en,purchase,saving,0,False,299.296875,719,True,True,True,80,80,3,True,True,True,True,650,831,181
767,900,False,en,shipping,existing,0,False,376.15625,719,True,True,True,80,80,3,True,True,True,True,650,1529,879
767,900,False,en,shipping,new,0,False,383.34375,719,True,True,True,80,80,3,True,True,True,True,650,1529,879
767,900,False,en,shipping,saving,0,False,385.765625,719,True,True,True,80,80,3,True,True,True,True,650,1529,879
767,900,False,en,orders,existing,0,False,270.125,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,False,en,orders,existing,123450,False,323.75,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,False,en,orders,existing,999999999999,False,398.28125,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,False,en,orders,saving,123450,False,346.96875,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,True,ja,purchase,existing,0,False,277.0625,719,True,True,True,80,80,3,True,True,True,True,650,831,181
767,900,True,ja,purchase,new,0,False,277.0625,719,True,True,True,80,80,3,True,True,True,True,650,831,181
767,900,True,ja,purchase,saving,0,False,303.453125,719,True,True,True,80,80,3,True,True,True,True,650,831,181
767,900,True,ja,shipping,existing,0,False,407.5,719,True,True,True,80,80,3,True,True,True,True,650,1529,879
767,900,True,ja,shipping,new,0,False,407.5,719,True,True,True,80,80,3,True,True,True,True,650,1529,879
767,900,True,ja,shipping,saving,0,False,433.890625,719,True,True,True,80,80,3,True,True,True,True,650,1529,879
767,900,True,ja,orders,existing,0,False,265.515625,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,True,ja,orders,existing,123450,False,319.140625,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,True,ja,orders,existing,999999999999,False,393.671875,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,True,ja,orders,saving,123450,False,345.53125,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,True,en,purchase,existing,0,False,289.6875,719,True,True,True,80,80,3,True,True,True,True,650,831,181
767,900,True,en,purchase,new,0,False,296.875,719,True,True,True,80,80,3,True,True,True,True,650,831,181
767,900,True,en,purchase,saving,0,False,299.296875,719,True,True,True,80,80,3,True,True,True,True,650,831,181
767,900,True,en,shipping,existing,0,False,376.15625,719,True,True,True,80,80,3,True,True,True,True,650,1529,879
767,900,True,en,shipping,new,0,False,383.34375,719,True,True,True,80,80,3,True,True,True,True,650,1529,879
767,900,True,en,shipping,saving,0,False,385.765625,719,True,True,True,80,80,3,True,True,True,True,650,1529,879
